Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Total enrollment,,,0.00,0.00,0.00,0.00,930.00,0.00,0.00,935.00,90.00,5.00,0.00
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2009,Personnel salaries at school level - total,4279357.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2009,Personnel salaries at school level - instructional staff only,3873140.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2009,Non-personnel expenditures at school level,406161.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2009,Personnel salaries at school level - teachers only,3071242.00,22.40,,,,,,,,,,,
GA,ATLANTA CITY,GA,BENTEEN ELEMENTARY SCHOOL,130012000073,2009,Total enrollment,,,60.00,0.00,0.00,35.00,145.00,5.00,0.00,240.00,20.00,0.00,35.00
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2009,Personnel salaries at school level - total,4460212.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2009,Personnel salaries at school level - instructional staff only,3904238.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2009,Non-personnel expenditures at school level,555934.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2009,Personnel salaries at school level - teachers only,3162824.00,25.80,,,,,,,,,,,
GA,ATLANTA CITY,GA,D. H. STANTON ELEMENTARY SCHOOL,130012000077,2009,Total enrollment,,,5.00,0.00,0.00,0.00,300.00,0.00,0.00,310.00,25.00,0.00,5.00
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2009,Personnel salaries at school level - total,6261036.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2009,Personnel salaries at school level - instructional staff only,5637702.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2009,Non-personnel expenditures at school level,623241.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2009,Personnel salaries at school level - teachers only,4686532.00,31.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,COAN MIDDLE SCHOOL,130012000082,2009,Total enrollment,,,5.00,0.00,0.00,0.00,315.00,0.00,5.00,325.00,45.00,0.00,0.00
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2009,Personnel salaries at school level - total,2622121.00,,,,,,,,,,,,
